error_code,description,file,line,line_text,suggestion,reason
A1,"""hardly or not at all suitable""",main.tex,129,These graphical representations are hardly or not at all suitable for \ac{bvi} students to learn these topics.,are often inaccessible,Knapper & idiomatisch.
A2,"""This paper presents""",main.tex,153,This paper presents these experiences -- along with insights from other institutions and organizations -- in the form of pedagogical patterns. The aim is to ...,We contribute ...,Expliziter Beitragssatz.
A3,"""easier understand""",1_Pattern.tex,98,Markdown is designed to use a minimal set of tags. Hence it is easier understand when access is done via text-to-speach or is read on a Braille display.,easier to parse,Infinitiv mit „to“.
A4,"""accomplish visual represented information...""",5_Pattern.tex,20,Accomplish visual represented information with a generated an checked textual description.,augment visually represented information ... generated and human-checked,Korrekte Wortwahl/Grammatik.
Bx2,http-Links statt DOI (in .bib),literature.bib,195,url       = {http://udlguidelines.cast.org},Prefer DOI link in doi = {...},Stabile Referenzen.
Bx2,http-Links statt DOI (in .bib),literature.bib,321,"url = {http://www.amazon.fr/exec/obidos/ASIN/0195019199/citeulike04-21},",Prefer DOI link in doi = {...},Stabile Referenzen.
Bx2,http-Links statt DOI (in .bib),literature.bib,336,"url={http://dx.doi.org/10.1145/3706598.3714132},",Prefer DOI link in doi = {...},Stabile Referenzen.
Bx2,http-Links statt DOI (in .bib),literature.bib,456,"url={http://dx.doi.org/10.11648/j.ajaa.20210904.11},",Prefer DOI link in doi = {...},Stabile Referenzen.
Cx3,"""Pattern 3"" ohne Namen",special_commands.tex,18,\patternname{Pattern 3: Accessibility of Graphics},Pattern ‘<Name>’ (see Section~\ref{...}),Präziser Verweis.
G10,"Satzanfang klein nach Punkt: "". these""",1_Pattern.tex,38,"In case of diagrams that adhere to a formal specification, such specifications typically define formats for textual representation. These structured formats ...",... These ...,Satzanfang groß.
G10,"Satzanfang klein nach Punkt: "". these""",2_Pattern.tex,29,Most software modeling tools use  a textual storage format. these formats are often not designed for humans but are used for data exchange. One example is \a...,... These ...,Satzanfang groß.
G10,"Satzanfang klein nach Punkt: "". these""",3_Pattern.tex,7,"In educational contexts, graphical representations are extensively employed in teaching materials at both school and university levels. These include diagram...",... These ...,Satzanfang groß.
